document,summary
"b'outgoing un emergency relief coordinator jan egeland is due in nairobi friday at the start of his final official mission to africa that will include a swing through southern sudan , his office said thursday .'",b'egeland to begin last mission to africa as un relief coordinator'
"b'a plan to build a mosque and islamic center next to ground zero , sparking a national debate on religious tolerance , won a crucial battle tuesday in new york .'",b'mosque near ground zero clears one last big hurdle'
"b'most lobster lovers turn manic in mid-may when , for six slender weeks , the king of atlantic crustaceans is UNK , gloriously sweet _ and so plentiful that its price can dip from the nearly prohibitive to the very possible .'","b""recipe for jasper 's UNK lobster"""
"b""the sinai resort bombings were egypt 's first major terrorist attacks since the #### luxor massacre by radical islamists , but government officials and analysts said saturday they probably do n't signal a resumption of militant activity in egypt , which has shown zero tolerance for muslim extremists .""",b'officials and analysts doubt sinai bombings start of wave of attacks in egypt'
"b""`` i 'll tell you a funny story , '' said pauline trigere , leaning forward in a cozy french restaurant on the upper east side , drawing her heavily accented words right along across the table .""",b'the perils of pauline'
"b""u.s. treasury secretary paul o'neill met with brazil 's financial elite and its less privileged in an effort to smooth over relations strained by recent comments suggesting brazilians were corrupt .""","b""u.s. treasury secretary praises brazil 's handling of economy meets with business leaders"""
"b""spy satellites and unmanned planes are being used to search for hundreds of guns stolen last month from an army base in thailand 's troubled muslim-majority south , sources and reports said sunday .""","b""spy satellites planes deployed to find stolen guns in thailand 's south"""
b'tsegaye kebede won the paris marathon on sunday at his first attempt with a personal best time .',b'kebede beats UNK to win paris marathon ; UNK takes women s race'
"b""bankboston plans to fight a decision by massachusetts insurance regulators to reject the bank 's plans to sell insurance in the state .""",b'bankboston plans to fight rejection of bid to sell insurance'
"b""republican arizona lawmakers are defending the gop 's proposal to slow the growth of medicare spending , knowing they are dealing with political dynamite in a state with an abundance of retirees .""",b'gop lawmakers defend medicare plan'
"b'the possibility of developing liver cancer for hepatitis b virus -lrb- hbv -rrb- carriers can be predicted by measuring the quantity of hbv in their blood , a group of researchers from national taiwan university said thursday .'",b'serum hepatitis b virus found to be predictor of liver cancer'
"b'more than ## police officers in riot gear fired rubber bullets and hurled tear gas at inmates to end a two-day riot in a brazilian jail that left one prisoner dead and three others seriously injured , authorities said saturday .'",b'saturday dec. # ####'
"b""greece 's best hope for a track gold medal at the olympics _ reigning ###-meter champion kostas kenteris _ is facing an international olympic committee investigation after he could not be located for a drug test thursday in the athletes ' village .""","b""greece 's top sprinters not found for ioc doping test"""
"b'world ###-meter track champion cathy freeman , the silver medalist at the atlanta olympics over the same distance , was named australian of the year on sunday .'",b'cathy freeman named australian of the year'
"b""iran 's chief nuclear envoy warned the united states on tuesday against climbing into `` the boxing ring '' over his country 's refusal to freeze uranium enrichment , while signaling that tehran wants to negotiate over fears that it may want to develop an atomic bomb .""",b'iran s chief nuclear negotiator warns u.s. against stepping into boxing ring'
b'the u.s. dollar falls near the ## yen line in tokyo wednesday morning .',b'dollar falls near ##-yen line in tokyo'
"b""`` first morning '' is by an unknown writer-director and is being almost literally snuck into theaters without benefit of advertising or promotional support , but with luck it will find its audience anyway .""",b'tragic story comes first'
"b'in a classified briefing to senior pentagon officials last month , the top u.s. commander in the middle east outlined a plan to gradually reduce u.s. forces in iraq by perhaps ##,### to ##,### troops by next spring , senior military officials and defense department officials said saturday .'",b'military plans gradual cuts in iraq forces'
"b""william f. farah , whose men 's apparel business was the object of one of the most bitter labor disputes in the history of the apparel industry , died monday in a private nursing home in el paso , texas .""",b'william f. farah dies at ## ; led family clothing business'
"b""as it moves rapidly to become the world 's leader in nuclear power , wind energy and photovoltaic solar panels , china is taking tentative steps to master another alternative energy industry : using mirrors to capture sunlight , produce steam and generate electricity .""",b'china explores another form of solar power'
"b'a finnish man was jailed for a month and ## days on thursday for mortally wounding a guinea pig in a fit of rage , stt agency reported .'",b'finn jailed for assaulting guinea pig'
"b'the u.s. army , anticipating decisions to begin drawing down the force in iraq after elections there next week , has drafted proposals to hold back one brigade that was scheduled to enter iraq and to assign some soldiers from another brigade to train iraqis and guard utilities and other public infrastructure , pentagon civilian and military officials say .'",b'changes reported for army deployment in iraq'
b'villarreal has signed brazilian midfielder edmilson from fc barcelona on a two-year contract .',b'villarreal signs edmilson from barcelona on two-year contract'
"b""honduras foreign minister roberto flores bermudez spoke for the republic of china 's bid to re-join the united nations saturday at a u.n. general debate session .""","b""honduras foreign minister speaks for roc 's u.n. bid"""
b'nearly everyone in massachusetts is waiting for joseph p. kennedy ii to make up his mind .',b'massachusetts waits for a kennedy to decide on race'
"b""labor unions on saturday called off their strike aimed at overturning a government fuel-price hike , ending a four-day work stoppage that had shut down most major economic activity in africa 's biggest oil producer .""",b'nigerian unions call off general strike after # days'
"b""street cry , the world 's top-rated older horse who was training for the breeders ' cup classic next month , was retired tuesday because of an ankle injury .""",b'top #-year-old street cry retired due to injury'
"b'the jets _ battered along the offensive line , and with a quarterback pounded incessantly and a running back having difficulty making it to the line of scrimmage _ will try sunday somehow to keep alive what has been a magical season .'",b'ailing jets try to regroup as their playoff hopes dim'
"b""the recent resignation of tang fei from the republic of china 's premiership highlights beijing 's impotence in dealing with taiwan-related affairs , according to the economist magazine .""","b""tang 's departure indicates beijing 's impotence regarding taiwan"""
"b""italian prime minister silvio berlusconi insisted tuesday that his government would respect commitments to reduce the country 's public deficit and would refrain from adopting a campaign budget in #### .""",b'berlusconi insists #### italian budget will aim to cut deficit'
"b'romania signed a bilateral agreement with iraq on monday like those already signed by australia , britain and the united states UNK their troop presence after the expiry of a un mandate last year .'",b'romania UNK troop presence in iraq'
"b""by many social , financial , educational and health measures , the well-being of america 's children has been improving , according to a new report from the federal government .""","b""children 's well-being improves report says"""
b'iranian mps on sunday called on the government to reduce ties with the un atomic watchdog after it censured the islamic republic for building a new nuclear plant .',b'iran mps demand govt reduce ties with iaea'
"b""the UNK region revolutionary memorial opened in east china 's shandong province today .""",b'revolutionary memorial opens in east china'
"b'despite evidence that president boris yeltsin is losing control of the russian military , the clinton administration has decided that it has little choice but to support him .'",b'administration sees no choice but to support yeltsin'
"b""despite brake failure and at least one burst tire , a british airliner carrying ### passengers and crew landed safely wednesday at hong kong 's kai tak airport , authorities said .""",b'plane lands safely despite flat tire and brake failure'
"b""by foot , bike and devious new routes , london commuters scrambled to get to work monday during a one-day strike by the city 's subway workers .""",b'london subway strike hits commuters'
"b'in the war on terrorism , this country faces an enemy whose theory of warfare ends the hard-won distinction in modern thought between combatant and noncombatant .'",b'the mishandling of enemy combatants'
"b'sen. bob dole solidified his position as the frontrunner for the republican presidential nomination by winning the florida gop straw poll saturday , the last informal party test before delegate selection begins in february .'",b'dole wins florida straw poll and keeps front-runner status'
"b'finnish airline finnair said thursday it had narrowed its losses in the fourth quarter close to break-even point on the back of cost-cutting measures , but forecast further losses for early #### .'",b'finnair narrows fourth-quarter losses sees difficult ####'
"b""europe 's main stock markets dropped on friday after wall street fell heavily overnight on renewed fears of a recession in the united states , while record high oil prices also hit sentiment , dealers said .""",b'european shares fall on us economy fears record high oil'
"b""gold opened at us$ ###.## an ounce on monday in hong kong , up us$ #.## an ounce from friday 's close of us$ ###.## .""",b'gold opens higher in hong kong'
"b'more than ### iraqi exiles have left a refugee camp in northern saudi arabia to return home , the UNK camp said in a statement tuesday .'",b'iraqi refugees leave saudi desert camp on their way home'
"b'more than ###,### people have been evacuated in hainan after the heaviest rains for decades inundated ## percent of the chinese island in the south china sea , state media reported monday .'","b""nearly ###,### evacuated in china 's hainan after floods"""
"b""afghan president hamid karzai 's top election rival said on the eve of thursday 's major international conference on the war-ravaged country that the afghan leader will be attending with `` half legitimacy '' and no program .""",b'abdullah questions legitimacy of afghan conference'
"b""argentina 's vice president suggested friday that his country 's south atlantic oil deal with britain meant london had recognized buenos aires ' `` ownership '' of the disputed falkland islands .""","b""argentina says oil deal gives it falklands ownership in britain 's eyes"""
b'thai tourism authority of thailand -lrb- tat -rrb- on wednesday launched a UNK - oriented campaign to target asian tourists and introduced a young singer as presenter .',b'thailand adopts tourism strategy to attract asian youngsters'
"b'a car accident on wednesday in UNK , southern albania , caused the deaths of UNK moisiu , son of the albanian president and the driver , the atsh news agency reported .'",b'son of albanian president killed in car accident'
"b'u.s. stocks opened higher tuesday , after goldman sachs and best buy announced quarterly performance beat wall street .'",b'wall street rises amid upbeat earnings reports'
"b'the authorities have asked an emirati family to stop demanding the execution of a young filipina maid who killed their father and accept blood money instead , an official said sunday .'",b'uae asks family to forgive maid who killed their father'
"b'the london stock market gained ground in opening deals on thursday after turbulent trade this week , with a gain of #.## percent to stand at #,###.## points .'",b'british shares gain #.## percent at open'
"b""senator john mccain on thursday fought for the backing of his foes in the republican party 's conservative base , hours after rival mitt romney quit the race , clearing his path to the white house .""",b'mccain rallies republican die-hards as romney quits'
"b""rescuers announced on saturday they had ended the search for the eighth dead miner -- the last one to be retrieved , ## days after the fluorite mine flooding in north china 's inner mongolia autonomous region .""",b'rescuers give up search for dead miner in inner mongolia'
"b""the yangzhou tourism festival opened today in yangzhou city of east china 's jiangsu province , with more than ###,### domestic and international visitors expected to attend .""",b'yangzhou tourism festival opens'
"b'while president bush tuesday led a public campaign to shore up the support for supreme court nominee harriet miers , his top white house aides and republican national committee chairman ken mehlman launched a behind-the-scenes barrage of phone calls and e-mail to influential conservatives urging them to overcome their skepticism .'",b'lobbying to swing miers nomination begins in earnest'
b'turkey on wednesday denied the report that turkey and israel will conduct first joint air maneuvers from september ## to ## .',b'turkey denies report on turco-israeli air maneuvers'
b'belgrade students spent their second night outdoors monday defying anti-riot police and vying to pursue round-the-clock their protest action against the government .',b'students in belgrade spend second night outdoors'
"b""tulsa , okla. - winning an ncaa championship at oklahoma state , augusta 's charles howell iii takes some welcome familiarity into his first major championship , this week 's u.s. open at southern hills .""",b'rookie howell familiar with southern hills'
"b'deflation increased to #.# percent in february as hong kong entered its ##th consecutive month of falling prices , the government said monday .'",b'deflation picks up as hong kong sees ##th consecutive month of falling prices'
"b""anaheim angels manager mike scioscia could n't believe it when informed that jorge fabregas ' triple thursday afternoon was his second of the season .""",b'angels leg it out take series'
"b'union bank of switzerland said nine-month net rose ## percent from the year-earlier period , suggesting third-quarter earnings soared , and became the second big swiss bank to predict bumper full-year net income .'",b'ubs says #-month earnings jumped ## % sees very good ####'
b'malaysia is deeply shocked and saddened over the loss of lives and destruction caused by a devastating earthquake in haiti on tuesday .',b'malaysia saddened over haiti quake'
"b""a north korean pilot who flew his mig-## fighter jet across the dmz in a dramatic defection last may will be inducted into the south 's air force next month , the defense ministry said monday .""","b""defecting north korean pilot commissioned into south 's air force"""
"b""michael jordan 's agent dismissed as `` foolishness '' a report in this week 's sports illustrated that the former bulls star and current washington wizards executive is `` ## percent committed '' to making a comeback next season .""",b'report of jordan comeback foolishness agent says'
"b'germans love their beer , their sausages , and their UNK sausages .'",b'u.s. beer and food on the menu when germany hosts world cup'
"b'rwanda on wednesday categorically denied allegations that its forces had invaded eastern zaire , after belgium spoke out strongly in defense of zairean sovereignty .'",b'rwanda denies alleged invasion of zaire'
"b""germany 's allianz , a major global insurance provider , decided to buy ## percent of the shares of romania 's ion tiriac insurance company so as to make inroads into the romanian insurance market .""","b""germany 's allianz explores romanian market"""
"b""a long-awaited senate analysis comparing the bush administration 's public statements about the threat posed by saddam hussein to the evidence senior officials reviewed in private remains mired in partisan recrimination and will not be released before the november elections , key senators said yesterday .""","b""senate study of pre-war threat wo n't be released before elections"""
"b'about #,### illicit guns will be destroyed by the kenyan government , local media reported on friday .'","b'#,### illicit guns to be destroyed in kenya'"
"b""it 's the stuff of many parents ' nightmares , but was all too real for australian mother jillian searle .""",b'australian mother in asian tsunami faced nightmare choice'
b'french presidential candidate nicolas sarkozy said monday that he would not join up with the united states if it decides to carry out a military action against iran .',b'french presidential candidate sarkozy says he would not support a military attack on iran'
"b'john peel , a bbc radio disc jockey who was a champion of innovative and independent music for nearly four decades , died on monday night in cuzco , peru .'",b'john peel ## dies ; played new rock on the bbc'
"b""twelve people , including three children , were killed and ## others injured in a collision between a bus and a microbus in bangladesh 's north-east habiganj district , ### km of the capital dhaka , private news agency unb reported .""",b'road accident kills ## injures ## in bangladesh'
b'the obama administration is retreating on long-delayed environmental regulations -- new rules governing smog and toxic emissions from industrial boilers -- as it adjusts to a changed political dynamic in washington with a more muscular republican opposition .',b'epa delays tougher rules on emissions'
"b""while light air caused yet another cancellation sunday on the second day of the america 's cup elimination round , gusts of criticism were still swirling around the america# camp , where the all-woman team had just been abridged by the addition of a man .""",b'controversy swirls around america#'
"b""a major dinosaur exhibition , the first of its kind in china , opened today in xi'an , capital of northwest china 's shaanxi province .""",b'weather forecast for major world cities'
"b'a u.s. medical researcher took his appeal for nobel recognition to the swedes , placing an ad in a major daily to drum up support for him sharing in the nobel prize in medicine .'",b'in sweden an american rankles decorum demanding nobel recognition'
"b""except this little saga comes with an unexpected twist : `` saving '' the barnes turns out to have been a sham , as the title 's claim of artful theft implies .""",b'silences are heard in the barnes war'
b'newly acquired stefano fiore and luca toni scored first-half goals and fiorentina beat sampdoria #-# saturday in the opening round of the serie a season .',b'livorno fiorentina win opening serie a matches'
b'u.s. stocks opened higher on tuesday as investors were waiting for election results .',b'u.s. stocks open higher'
b'indian bank chairman s. rajagopal said thursday that the UNK bank has already run up losses of ## billion rupees -lrb- ### million u.s. dollars -rrb- .',b'indian bank piles losses of ### million dollars'
"b""china 's passenger traffic grew steadily in the first half of this year with a slight increase in freight traffic volume , according to figures released by the national bureau of statistics .""","b""china 's passenger traffic rising"""
"b'oil prices pulled back friday as political rancor threw a u.s. financial bailout proposal into disarray , deepening investor fears of a protracted and painful economic downturn that would further erode u.s. energy demand .'",b'oil falls as us bailout talks falter'
b'the belgian senate ratified two key amendments early friday aiming to keep alive a ten-year-old war crimes law under which international leaders can be indicted .',b'belgian senate ratifies key revisions to keep war crimes law alive'
b'the serbian orthodox church urged its followers in an easter message on sunday to take a vow to defend kosovo .',b'church urges serbs to take kosovo vow in orthodox easter message'
"b'joerg haider powered his political party to a stunning win in his home province sunday , confounding pundits and strengthening the odds for a national comeback for the controversial rightist known for anti-jewish slurs and a friendship with saddam hussein .'",b'controversial rightist wins re-election hopes to regain national prominence'
"b'the european medicines agency says it will review the safety of the diabetes drug avandia following research suggesting it is linked to a higher risk of heart problems , strokes and deaths in older adults .'",b'european agency to review safety of gsk s avandia'
"b'the swedish government said friday it would crack down on highly popular youth - targeted sms loans , as the left-wing opposition demanded a total ban on the loans to minors .'",b'sweden to crack down on sms loans'
"b""the pundits of pro football may as well have been armed with magnifying glasses , trench coats and sherlock holmes ' UNK hats the way they 've been scouring the nfl in recent weeks in search of the team that could be this year 's pittsburgh steelers .""","b""everyone trying to be this year 's steelers including the steelers"""
"b""heavy shelling and gunfire in mogadishu killed three people and wounded about ## in the battle between government and rebel forces for somalia 's capital , witnesses said .""",b'fighting in mogadishu kills # wounds about ##'
"b'a spanish judge on friday freed the six latest suspects detained in the madrid rail bombings , a court official said .'",b'judge frees six latest suspects in madrid bombings'
"b'mount mayon erupted with a loud resounding bang shortly before noon wednesday , sending a mushroom of dark clouds shooting up in the sky higher than the three other blasts last year , reports reaching here said .'",b'mayon volcano in philippines erupts anew'
"b""the storm that killed up to ### people in haiti and swamped much of florida 's winter vegetable crop whipped itself into hurricane gordon thursday as it swept up the atlantic coast packing ## mph -lrb- ### kph -rrb- winds .""",b'tropical storm whips into hurricane off atlantic coast'
"b""new convoys struck out thursday for bosnia 's hungry northwest , one for people protected by government forces , the other for renegade muslims fighting them .""",b'food convoy for muslims reaches bihac territory'
"b'two women were killed thursday in a fire that burned down an ##-year-old dormitory for foreign residents in tokyo , police said .'",b'blaze kills two at tokyo foreigners dormitory'
"b'divers who believed they had found a mostly intact piece of fuselage from a crashed singapore-owned jetliner found a pile of plane pieces on a murky riverbed instead , a rescue commander said sunday .'","b""indonesian officials say they did n't find plane fuselage as"""
b'russian authorities pressed hard saturday to discover more about the two mysterious widows who brought terror to the heart of moscow by targeting its famed subway system .',b'russia seeks more about subway bombing widows'
"b'a u.s. military review panel heard the cases wednesday of a prisoner accused of spying on villagers for the taliban and a young man who allegedly traveled to afghanistan to fight against u.s. forces , an official said .'",b'guantanamo review panel hears cases of two alleged taliban fighters'
b'a quirky case about a slashing documentary attacking hillary rodham clinton would not seem to be the most obvious vehicle for a fundamental re-examination of the interplay between the first amendment and campaign finance laws .',b'court weighs UNK between #st amendment and campaign finance'
"b'the u.s. government should ban the diabetes drug avandia because of a wide variety of life-threatening risks , including heart and liver damage , a consumer group said thursday .'",b'us consumer group asks government to ban avandia'
"b'the fury started over a hole in the wall in the heart of old jerusalem , covered by two blue-gray metal doors that open hardly wide enough to let through a pair of tourists with knapsacks .'",b'in land of clashing symbols fury erupts from hole in wall with us-mideast'
"b""president barack obama is joining japan 's leader in saying the long-standing u.s.-japanese relationship needs to adapt to the needs of the ##st century .""",b'obama joins hatoyama in call for change'
b'riot police used a water cannon to break up a noisy but peaceful street protest in downtown seoul against a proposed free trade agreement between south korea and the united states .',b'south korean riot police break up protest against u.s. free trade agreement'
"b""when coaches call a timeout late in a nfl game to try and disrupt an opposing kicker 's match-winning attempt , its called `` icing '' in league lingo .""",b'icing kickers may have opposite effect'
"b'to fulfill its dreams of creating a financial services empire on the internet , merrill lynch &amp; co. is teaming up with hsbc holdings to offer online banking and investment services throughout europe and asia , the two companies announced on tuesday .'",b'merrill lynch and hsbc in joint venture'
"b'dan duva , who promoted fights involving world champions such as evander holyfield , george foreman and sugar ray leonard , died tuesday after a fight with cancer .'",b'boxing promoter dan duva dies'
"b'people join online communities to help support them through all kinds of life changes , from getting married to moving , from having children to changing jobs .'",b'online weight-loss groups offer diet support'
b'another leading intellectual called on scandal-ridden president chen shui-bian friday to seriously consider resignation for the sake of the entire country .',"b""academician urges president to heed nobel laureate 's open letter"""
"b""chinese shares closed #.## percent higher monday at their highest level in ## months as sentiment was boosted by constitutional amendments passed by the national people 's congress sunday recognizing private property rights , dealers said .""",b'chinese shares close at ##-month high'
"b""gov. bill richardson signed legislation wednesday repealing new mexico 's death penalty , making it the second state to ban executions since the u.s. supreme court reinstated the death penalty in #### .""",b'new mexico gov signs bill banning death penalty'
b'the australian dollar closed stronger monday as speculation mounted over the prospect of an official interest rate cut by the u.s. federal reserve .',b'australian dollar closes firmer on u.s. rate cut'
"b'the justice department wants to transfer a lawsuit seeking to halt the navy from resuming bombing exercises on vieques island to a federal court in puerto rico , where similar efforts have been defeated .'",b'feds want to move vieques case'
"b'an israeli court has decided to release the jailed arab-israeli leader of the islamic movement in two weeks , judicial sources said monday , after he spent more than two years in prison on charges of terrorism .'",b'israel to free arab-israeli islamic leader'
"b'the white house said wednesday the iraqi government should take action against a lawmaker reportedly convicted more than two decades ago of planning deadly #### attacks on the us and french embassies in kuwait , if the link is proven .'",b'us wants iraq to act on lawmaker convicted of embassy attacks'
"b'the united nations high commissioner for refugees -lrb- unhcr -rrb- has started official consultations with bhutanese refugees living in eastern nepal regarding their resettlement in the third country , the national news agency , rss reported on thursday .'",b'un consulting bhutanese refugees in nepal over resettlement'
"b""richard bradley 's last book , a decidedly unauthorized biography of john f. kennedy jr. , rode a wave of controversy to become a no. # best seller .""","b""amid the firestorm a book about harvard 's president"""
"b""a businessman and confidant of taiwan 's former president was allowed to post bail and avoid detention monday as officials investigated his alleged role in the mishandling of a secret fund at the island 's spy agency .""",b'former presidential confidant released on bail in taiwanese corruption case'
b'an impromptu strike hit kashmir friday as protesters accused police of preventing pro-separatist leaders from holding a public rally .',b'general strike paralyzes life in disputed kashmir region of india'
b'the european air safety agency unveiled on monday a set of new proposals limiting flight hours for commercial pilots in order to combat pilot fatigue .',b'eu unveils proposed flight time limits for pilots'
"b""a small telephone company in georgia is rapidly making a name for itself -- but it 's not the sort of thing to phone home about .""",b'small georgia phone firm in hot water'
"b""president barack obama vigorously defended his plans to close the guantanamo prison camp on thursday and promised to work with congress to develop a system for imprisoning detainees who ca n't be tried and ca n't be turned loose .""",b'obama says us prisons tough enough for detainees'
b'the new steel and foam energy reduction wall at the indianapolis motor speedway got its first major test sunday when robby mcgehee slammed hard into the third turn barrier on the opening day of practice for the indianapolis ### .',b'mcgehee hits soft wall on first day of indy ### practice'
b'the international energy agency -lrb- iea -rrb- on monday called on governments to send a strong signal to spur new investment for clean energy .',b'iea calls for strong signal to promote new investment for clean energy'
"b""sun microsystems inc. reported stronger-than-expected earnings for its fiscal second quarter thursday as the company continued to evade the asian economic crisis and microsoft corp. 's relentless assault on its core market .""",b'sun microsystems exceeds expectations'
"b""president liamine zeroual on tuesday postponed plans to have opposition parties join the government in a coalition arrangement and take part in algeria 's transitional parliament .""",b'algerian president postpones plans for coalition government'
b'visiting lebanese prime minister saad hariri said here on wednesday that he worried the israeli intervention may create new conflict in the middle east region after the recent overflights in lebanese airspace .',b'lebanon worried about new conflict from israeli intervention'
"b""norwegian UNK aksel lund svindal won a men 's world cup super-combi thanks to a sizzling slalom run while bode miller blew his downhill lead by skiing off course on thursday .""",b'svindal climbs ## spots to win super-combi miller blows out in slalom leg'
b'the taipei city government began the challenging task monday of moving the nearly ###-year-old taipei workshop -- a train manufacturing and repair facility located near the north gate in downtown taipei -- ## meters to the southeast in an effort to save the historic relic during the construction of a new mass rapid transit -lrb- mrt -rrb- line .',b'work to relocate historic taipei workshop starts'
"b""ugandan police on tuesday detained ## opposition demonstrators protesting a decision by the president to renew the country 's electoral commission ahead of #### presidential elections .""",b'uganda arrests opposition demonstrators'
b'a judge has given google inc. more time to revise a legal settlement that has drawn government scrutiny because it would give the internet search leader the digital rights to millions of out-of-print books .',b'deadline in google book deal extended to friday'
"b'george garrett , a highly regarded southern novelist who never received the wide literary renown that his decades of glowing reviews would suggest , died on monday at his home in charlottesville , va. .'",b'george garrett ## southern novelist'
"b""in the desperate dance that is microsoft 's pursuit of yahoo , no one 's cutting in .""",b'there s no upside for microsoft or yahoo houston and then there was google'
"b""when dodgers manager grady little announced early in spring training that shortstop rafael furcal would be the club 's leadoff hitter , and center fielder and career leadoff hitter juan pierre would bat second , little was quick to qualify that decree by saying that if it proved over time to be ineffective , he would change it .""",b'pierre might find room at the top'
"b'nine east timorese asylum seekers entered their sixth day at the australian mission here , with the embassy adamant that the request would not be considered , a diplomat said monday .'",b'asylum seekers begin sixth day at australian mission'
"b'glancing warily overhead , residents of gaza ventured out tuesday to inspect the bombed-out police stations , the crippled television studios , the wrecked office suites and the other physical evidence of an unnerving night of missile barrages from israeli helicopters .'",b'palestinians in gaza assess devastation from israeli missiles'
"b'the lights went out across a wide area of southern california on monday , and officials said it was not immediately clear what caused the outage .'",b'power outage in southern california affects wide area'
b'new jersey nets coach john calipari was enjoying himself monday .',b'nets coach aiming high'
b'israeli prime minister ehud olmert says israel will hit hamas hard after palestinians killed two israelis at the depot where fuel is shipped into the gaza strip .',b'israeli premier pledges to hit hamas while pursuing peace talks with palestinian moderates'
b'anadarko petroleum corp. went on a multibillion-dollar shopping spree earlier this year and bought a pair of oil and gas producers -- and the company is continuing efforts to sell other assets to pay the bill .',b'anadarko presses ahead on asset sales ; company selling interests in two deep-water spots'
"b'frustrated by delays in health care , a coalition of injured iraq war veterans is accusing the u.s. department of veterans affairs of breaking the law by denying them disability pay and mental health treatment .'",b'injured iraq war veterans to sue federal government over delays in disability pay health care'
"b'first there was the weekend of UNK in the back yard , then two days of bailing out the flooded basement .'",b'making short work of a long weekend in chicago'
"b""china 's citic securities co. said tuesday it expects its unaudited #### net profit to increase more than five times from a year earlier on trading commissions and underwriting fees earned during the domestic stock market 's bull run .""",b'china s citic securities expects #### profit to rise fivefold from a year earlier'
b'european union leaders meeting at a jobs summit to discuss the shared problem of unemployment face pressure for immediate action _ but warn that no quick fix is in sight .',b'eu leaders face unemployment challenge labor demo at opening'
b'vice chairwoman lee UNK disclosed in shanghai saturday that two chinese banks -- bank of china and bank of communications -- have filed applications with the commission to open representative offices in taiwan .',b'talk of the day chinese banks coming to taiwan soon'
"b""the palestinian islamic resistance movement -lrb- hamas -rrb- on thursday warned against any meeting between palestinian and israeli officials , saying that these meetings provide a cover to israel 's killings and terror .""",b'hamas warns against israeli-palestinian official meetings'
b'a four-month hiatus in space shuttle flights ended on monday when the shuttle atlantis blasted off into a blue florida sky on a mission to expand the international space station .',b'atlantis launch ends #-month space shuttle grounding'
"b""state regulators said that they would lower the benchmark used to set workers ' compensation rates by ## percent , potentially saving california employers as much as $ ### million .""",b'state to lower workers compensation minimum rates'
"b""india 's defense minister said saturday that a solution to the standoff between his country and pakistan is not at hand , and that a meeting between military officials of the two nuclear rivals is not possible .""",b'indian defense minister says no resolution in sight in standoff'
b'stocks fluctuated in early trading wednesday as good news on manufacturing helped offset a decline in commodities prices .',b'stocks mixed after manufacturing data'
b'chinese vice premier wang qishan tuesday called for joint efforts from china and the united states to safeguard bilateral ties so as to bring benefits to the two peoples .',b'chinese vice premier calls for joint efforts to promote china-u.s. ties'
"b'UNK john demjanjuk stands trial in germany monday accused of herding ##,### jews to their deaths as a nazi camp guard , in what will likely be the last major case of its kind .'",b'demjanjuk faces landmark nazi death camp trial'
"b'south korean share prices fell #.# percent monday on profit taking by institutions despite foreign investor buying triggered by gains on wall street , dealers said .'",b'seoul shares close down #.# percent'
b'three men and a woman appeared in an irish court on wednesday charged with membership in the real ira -- a dissident roman catholic paramilitary group opposed to the northern ireland peace process -- and weapons offences after a police raid uncovered an arms cache in ireland last october .',b'four charged in irish court with real ira membership'
b'the netherlands continued its domination over speed skating at the world winter university games on wednesday with renate groenewold winning her third gold medal .',"b""men 's world cup super-g slalom results"""
"b'sinn fein leader gerry adams said thursday he wants to meet with the commanders of three anti-british paramilitary groups and persuade them to abandon violence and disarm , the path already taken by most irish republican army members .'",b'sinn fein chief wants to meet dissident ira groups persuade them to end violence'
"b""just when it appeared the st. louis cardinals were about to overcome darryl kile 's disastrous outing , fernando tatis dug them a new hole .""",b'tatis errors short circuit cards'
b'a malaysian court monday postponed the bail hearing of jailed ex-deputy prime minister anwar ibrahim for a week after learning that a senior defense counsel had been hospitalised .',"b""bail hearing for malaysia 's anwar postponed"""
"b""for los angeles dodgers fans who did n't check out over the dreary weekend , the daily news offers a road map and a history lesson for the rest of the season .""","b""history shows journey wo n't be easy"""
"b'a fire swept through a baghdad warehouse on saturday where school books were being stored , with a us soldier saying looters may have set the blaze .'",b'school books go up in flames in baghdad warehouse fire'
"b""thousands of mourners filed past the open casket of former russian president boris n. yeltsin on tuesday as his body lay in state in moscow 's main cathedral , which was demolished in soviet times and rebuilt under his rule .""",b'thousands come to cathedral to pay respects to yeltsin'
"b""the trial of a man accused of cheating l'oreal heir liliane bettencourt out of part of her billions looked set to be delayed due to a separate scandal after lawyers tuesday agreed to seek a postponement .""","b""lawyers seek to delay trial over l'oreal heir"""
"b'five school children were killed tuesday when a car in the convoy of a top judicial official accidentally ran them over while on their way to school in a central baghdad neighborhood , police and hospital officials said .'",b'convoy of top iraqi official runs over school children killing five'
"b""israeli prime minister ariel sharon 's cabinet is to decide at its weekly meeting sunday on the release of another ### palestinian prisoners , public radio reported .""",b'israeli cabinet to decide on prisoner release'
b'jose cortez kicked a ##-yard field goal as time expired to give the los angeles xtreme a ##-# victory over the las vegas outlaws in the xfl on saturday night .',b'xtreme ## outlaws #'
"b""britain 's prince william is to join the royal air force on monday for a four - month intensive pilot training course , raf chiefs said .""","b""britain 's prince william to train as a pilot"""
"b'china and the united states took conflicting positions in the first day of talks about the spy plane incident wednesday , with no agreement in sight on the future of u.s. surveillance flights or the return of the u.s. plane .'",b'china-u.s. spy plane talks begin'
"b""citing serious problems with patient care that may have contributed to several deaths , the state has fined mount sinai medical center $ ##,### and extended its suspension of the hospital 's live liver donor program indefinitely .""","b'state fines hospital $ ##,### and bans live liver transplants'"
